ID,book_name,type,責任者,卷數,版本,時代,Time,地點,Location,來源,錄入員,錄入時間
65068b19-1329-496e-9dbd-c3a41f15e687,北礀集,集部,南宋-釋居簡,10（外集、語錄不分卷）,室町覆宋版（1-4）南宋宋刊本（5-10、語錄）淳祐宋刊本（外集）,南宋,1127-1279,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》150,蔣彭飛,44840
62820972-a4f4-421d-bbe3-6f519c85821e,魏氏家藏方,子部,南宋-魏峴,10,南宋寶慶刻本,南宋,1127-1279,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》67,蔣彭飛,44840
56a643c2-3d38-4470-9179-f1db057a42a2,村西集,集部,元-譚景星-著/元-陳泗孔-編,16,元延祐刊本,元,1314-1320,湖廣,湖南,《日本宮內廳書陵部藏宋元版漢籍選刊》152,蔣彭飛,44841
306fe20f-57e9-44f8-b288-06dad9b5a93f,王文公文集,集部,宋-王安石-撰,100（存1-70）,南宋高宗紹興年間龍舒郡齋刻本,南宋紹興年间（紹興二十一年前）,1131-1151,龍舒,安徽省舒縣,《日本宮內廳書陵部藏宋元版漢籍選刊》126,周彥羲,44838
a17f92c2-4dd6-45eb-956f-b1d5bc6f4b8b,重廣分門三蘇先生文粹,集部,宋-蘇洵 蘇軾 蘇轍-撰/宋-闕名-編,100（目錄2卷）,南宋紹興刻本,南宋紹興年間,1131-1162,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》137,周彥羲,44838
514a2141-61d2-4929-bead-5f09be42f71f,新編類要圖註本草,子部,宋-寇宗奭-撰/[題]宋-劉信甫-校正,42(目錄1卷敘例5卷）,南宋建安余彥國勵賢堂刻本,南宋,1127-1279,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》63,周彥羲,44838
70319845-35c1-42c4-81bb-88ac5b512d61,聯燈會要,子部,宋-釋悟明-撰,30,元世祖至元年間重刻本,元世祖至元二十八年辛卯,1291,松江澱山,上海市青浦縣,《日本宮內廳書陵部藏宋元版漢籍選刊》116,周彥羲,44838
0c636a41-3e61-4476-b6f5-dc0d682b9f79,禪林類聚,子部,元-釋道泰 智境-編,20,元大德十一年初刻本,元大德十一年,1307,揚州,江蘇省揚州市,《日本宮內廳書陵部藏宋元版漢籍選刊》109,周彥羲,44838
e0d5423b-eb8e-4553-b183-f2d69f24e5d9,景文宋公集,集部,北宋-宋祁-撰,存18卷,南宋刊本,南宋,1127-1279,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》130,曾程,44861
3e3e9c9a-a257-45ab-a6bf-b8c5e0ece7a1,增廣太平惠民和劑局方,子部,北宋-陳師文等-校正,10卷,元廬陵古林書堂刊本,元至元間,1264-1294,廬陵,江西省吉安市,《日本宮內廳書陵部藏宋元版漢籍選刊》69,曾程,44861
37170858-e158-471f-b957-f26e61c6cf02,歐陽文忠公集,集部,北宋-歐陽修-撰,全153卷存69卷,南宋慶元周必大本,南宋慶元二年,1196,廬陵,江西省吉安市,《日本宮內廳書陵部藏宋元版漢籍選刊》122-125,曾程,44861
78dd2a3b-2494-4cb3-8861-8c58dbf78b87,四書輯釋,经部,元-倪士毅-撰,14卷+12卷,元至正二年建安劉叔簡日新書堂刊本,元至正二年,1342,建陽,福建省南平市建陽區,《日本宮內廳書陵部藏宋元版漢籍選刊》24-25,曾程,44861
3d678609-87ca-428f-be89-21ca2373e81b,春秋胡氏傳附錄纂疏,经部,元-汪克寬-撰,30卷,元至正八年建安劉叔簡日新堂刊本,元至正八年,1348,建陽,福建省南平市建陽區,《日本宮內廳書陵部藏宋元版漢籍選刊》17-20,曾程,44861
20253e58-ddab-4c92-b34f-7df6efa93e05,東都事略,,南宋-王稱-著,130,南宋眉山程舍人宅刻本,南宋光宗,1189-1194,蜀,四川,《日本宮內廳書陵部藏宋元版漢籍選刊》38,付碧雯,44854
998294d0-4256-4e9b-bab6-0ebc1aa281ff,王狀元集百家注分類東坡先生詩,,北宋-蘇軾-撰/南宋-王十朋-纂集/南宋-赵夔-注,25,南宋建安魏忠卿家塾刻本,南宋,1162-1189,建安,福建南平建瓯,《日本宮內廳書陵部藏宋元版漢籍選刊》134,付碧雯,44854
3fedb6e1-8dd4-44f7-b4c4-da00a34c00e0,誠齋集,集部,南宋-楊萬里-著/南宋-楊長儒-編/南宋-羅茂良-校勘,133,南宋端平本,南宋,1234,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》140,付碧雯,44859
7323e6e7-0e3c-45f3-86cc-5506b5360ca1,誠齋先生南海集,集部,南宋-楊萬里-著,8,南宋肇慶軍府刊本,南宋,1186-1187,肇慶,廣東肇慶,《日本宮內廳書陵部藏宋元版漢籍選刊》148,付碧雯,44844
90b76791-ff7e-4f88-a13b-3ec2a6a47845,崔舍人玉堂類稿,集部,南宋-崔敦诗-著,20,南宋浙中刻本,南宋,1168-1200,浙江,浙江,《日本宮內廳書陵部藏宋元版漢籍選刊》149,付碧雯,44854
0244621c-eeff-490d-9013-b35eb2f8944a,中州集,集部,金元之际-元好问-编,10,元乙卯新刊本,元,1255,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》151,付碧雯,44852
